id,description,en,si,ta
print.certificate.form.name,The title of review button in list expansion actions,Print,මුද්‍රණය කරන්න,அச்சு
print.certificate.form.title,The title of review button in list expansion actions,Print certificate,සහභාගී කිරීම මුද්‍රණය කරන්න,சான்றிதழை அச்சிடுங்கள்
print.certificate.manualPaymentMethod,The label for select option for manual payment method,Manual,අන්තර්ගතය,கையேற்று
print.certificate.next,,Next,ඊළඟ,அடுத்து
print.certificate.noLabel,,,,
print.certificate.noPayment,The title for no payment section,No payment required,ගෙවීම අවශ්‍ය නොවේ,கட்டணம் தேவையில்லை
print.certificate.payment,The title for payment section,Collect payment,ගෙවීම එකතු කරන්න,கட்டணம் சேகரிக்கவும்
print.certificate.paymentAmount,The label for payment amount subsection,රු. {paymentAmount},රු. {paymentAmount},ரூ. {paymentAmount}
print.certificate.paymentInstruction,Description for payment section,"Please collect the payment, print the receipt and hand it over to the payee.","කරුණාකර ගෙවීම එකතු කරන්න, ලැබීම මුද්‍රණය කරන්න හා ගෙවීමේ පුරවරු එක් කරන්න.","கட்டணத்தை சேகரிக்க, ரசீதை அச்சிட்டு செலுத்தி பெறுநருக்கு கையெழுத்து வழங்கவும்."
print.certificate.paymentMethod,The label for payment method select,Payment method,ගෙවීමේ ක්‍රමකාංගම,கட்டண முறை
print.certificate.printCertificate,,Print certificate,සහතිකය මුද්‍රණය කරන්න,சான்றிதழை அச்சிடவும்
print.certificate.printReceipt,The label for print receipt button,Print receipt,ලේඛනය මුද්‍රණය කරන්න.,ரசீதை அச்சிடுங்கள்
print.certificate.queryError,The error message shown when a query fails,An error occurred while quering for birth registration data,උපදෙස් සිදුවීම් දත්ත සේදීමේ සදහා ොත්තයක් සිදු විය.,பிற பதிவு தரவை கேட்கும் போது பிழை ஏற்பட்டது
print.certificate.review.description,Certificate review description,Please confirm that the informant has reviewed that the information on the certificate is correct and that it is ready to print.,කරුණාකර දැනුම්දෙන පුද්ගලයා සහතිකයෙහි තොරතුරු නිවැරදි බව සමාලෝචනය කර ඇතිද සහ මුද්‍රණය සඳහා සූදානම්දැයි තහවුරු කරන්න.,சான்றிதழில் உள்ள தகவல்கள் சரியானவை என்றும் அச்சிடுவதற்குத் தயாராக உள்ளது என்றும் தகவல் வழங்குபவர் பரிசீலனை செய்ததை உறுதிப்படுத்தவும்.
print.certificate.review.modal.body.print,Print certificate modal body text,A PDF of the certificate will open in a new tab for you to print. This record will then be moved to your ready to issue work-queue,ලේඛනයේ PDF එක ඔබට මුදා කිරීමට නව ටැබයේ විවෘත වේ. මෙම වාර්තාව ඔබගේ සූදාරිය ක්‍රියාකාරී ක්‍රියාකාරියට ගෙන යනුවද යැයි ඇත.,உங்களுக்கு அச்சடக்கம் பீடிஎஃப் பதிவேற்றம் ஒரு புதிய கத்தியில் திறக்கப்படும். இந்த பதிவு பின்னர் உங்கள் வெளியே வைக்க வேலை பட்டியலில் நகர்க்கை செல்லும்.
print.certificate.review.modal.body.printAndIssue,Print certificate modal body text,A PDF of the certificate will open in a new tab for you to print and issue,ලේඛන්ගාරයේ PDF එක ඔබට මුදා කර දායකින්න සඳහා නව ටැබයේ විවෘත වේ.,உங்களுக்கு அச்சடிப்புப் பதிவேற்றும் பிடிஎஃப் பதிவேற்று புதிய கத்தியில் திறக்கிறது.
print.certificate.review.printAndIssueModalTitle,Print and issue certificate modal title text,Print and issue certificate?,ප්‍රින්ට් කරන්න සහ ප්‍රතිසාධනය කරන්නේ?,சான்றிதழை அச்சிட்டு வெளியிடவுமா?
print.certificate.review.printModalTitle,Print certificate modal title text,Print certificate?,සහතෝටිකය මුද්‍රණය කරන්නේ?,சான்றிதழை அச்சிடுக?
print.certificate.review.title,Certificate review title,Ready to certify?,බලාපොරොත්තු කිරීමට සූදානම්ද?,சான்றிதழ் பெற தயாரா?
print.certificate.section.title,The title of print certificate action,Certify record,ලේඛනය සහතිකරන්න,பதிவேற்றுகையை சான்றிதழ் செய்யுங்கள்.
print.certificate.selectSignature,The label for choose signature select,Select e-signatures,එසම් අත්සන් කිරීමන් තෝරන්න,கையொப்பம் தேர்ந்தெடுக்கவும்
print.certificate.serviceMonth,The label for service paragraph,"Service: <strong>Birth registration after {service, plural, =0 {0 month} one {1 month} other{{service} months}} of D.o.B.</strong><br/>Amount Due:","සේවා: <strong>උපරිම උපරිමේ පසු උපරිම {service, plural, =0 {0 මාසය} one {1 මාසය} other{{service} මාස}} පසු උපරිම ලියාපදිංචි කිරීම.</strong><br/>මුදල අවශ්‍ය:","சேவை: <strong>பிறந்த தேதி பிறகு {service, plural, =0 {0 மாதம்} one {1 மாதம்} other{{service} மாதங்கள்}} பிறகு பிறப்பு பதிவு</strong><br/>தொகை தேவை:"
print.certificate.serviceYear,,"Service: <strong>Birth registration after {service, plural, =0 {0 year} one {1 year} other{{service} years}} of D.o.B.</strong><br/>Amount Due:","සේවා: <strong>උපරිම උපරිම {service, plural, =0 {0 වසර} one {1 වසර} other{{service} වසර}} පසු උපරිම ලිපිනය</strong><br/>මුදල අවශ්‍යයි:","சேவை: <strong>பிறந்த தேதி பிறப்பு பதிவு பிறகு {service, plural, =0 {0 வருடம்} one {1 வருடம்} other{{service} வருடங்கள்}} பிறப்பு பதிவு</strong><br/>தொகை தேவை:"
print.certificate.signature.person1,,UP Secretary Shakib al hasan,UP සංදේශවර්ධන ශাকিব් ඇල් හසන්,உயர்நிலை செயலாளர் ஷாகிப் அல் ஹாசன்
print.certificate.signature.person2,,Local Registrar Shakib al hasan,දේශීය ලියාපදිංචි ශාකීබ් ඇල් හසාන්,உள்ளூர் பதிவாளர் ஷாகிப் அல் ஹாசன்
print.certificate.toast.message,Floating Toast message upon certificate ready to print,Certificate is ready to print,සහත්කම මුද්‍රණය කිරීම සඳහා විසින් සූදානම් විය,சான்றிதழ் அச்சிடுவது தயார் ஆகிவிட்டது
print.certificate.userReviewed,,The informant has reviewed and confirmed that the information on the certificate is correct.,දස පරීක්ෂා කර සහභාගී කරන්නේ අත්සන් ප්‍රදේශයේ තොරතුරු නිවැරදි බවයි.,தகவலியாளர் சான்றிதழில் உள்ள தகவல்கள் சரியானவை என்று பரிசோதித்து உறுதிப்படுத்தினார்.
print.declaration.civilRegistrationOffice,,Civil registration office,සිවිල් ලිපි ලේඛනය,சிவில் பதிவு அலுவலகம்
print.declaration.header.title,,Civil Registration Centre,සිවිල් ලිපේ මධ්‍යස්ථානය,பொது பதிவு மையம்
print.declaration.informantAttestation,,"I attest to having received this {eventType, select, birth{birth} death{death} marriage{marriage} other{}} declaration","මම මෙම {eventType, select, birth{උපන්දින} death{මධ්‍යම} marriage{විවාහ} other{}} ප්‍රකාශය ලබා දෙනවා ය.","நான் இந்த {eventType, select, birth{பிறப்பு} death{மரணம்} marriage{திருமணம்} other{}} அறிக்கையை பெற்றுக்கொண்டதை உறுதிசெய்கிறேன்."
print.declaration.placeOfDeclaration,,Place of declaration,ප්‍රකාශයේ ස්ථානය,அறிக்கையின் இடம்
print.declaration.warning.declarationDetails,,To be completed by office,කාර්යයෙන් සම්පූර්ණ කිරීමට,அலுவலகம் மூலம் முடிக்கப்பட வேண்டும்
recommender.none,No recommender,No recommender,අන්තර්ක්‍රියයා නෑ,பரிந்துரையர் இல்லை
record.certificate.collectedInAdvance,Table column header showing collector info in record audit,Printed in advance by,පෙරදිග මුද්‍රණය කරන ලදි.,முன்பே அச்சிடப்பட்டு
record.certificate.collector,Table column header showing collector info in record audit,Printed on collection,කක්ෂප් මත ප්‍රවාහනය කරන ලදි.,சேகரிக்கப்பட்டது அச்சிடுகளில்
recordAudit.archive.confirmation.body,Confirmation body for archiving a declaration,This will archive the record and remove it from your workspace,මෙය වාර්තා කිරීමේ වාර්තා පිළිබඳ පිහිටුවාදී ඇතුව යැවිය හැකිය.,இது பதிவை சேமிக்கும் மற்றும் உங்கள் பணியாளர் இடத்திலிருந்து அதை நீக்கும்.
recordAudit.archive.confirmation.title,Confirmation title for archiving a declaration,Archive declaration?,ආත්‍රාත්තී ප්‍රකාශය?,ஆவண அறிக்கை?
recordAudit.archive.status,Archived status,Archived,අතිරික්කුවක්,பதிவுசீராக்கப்பட்டுள்ளது
recordAudit.contact,Contact for record audit,Contact,ඇමතුම්කරන්න,தொடர்பு
recordAudit.dateOfBirth,Label for date of birth,Date of birth,උපන් දිනය,பிறந்த தேதி
recordAudit.dateOfDeath,Label for date of death,Date of death,මධ්‍යමාන දිනය,மரண தேதி
recordAudit.dateOfMarriage,Label for date of marriage,Date of marriage,විවාහයේ දිනය,திருமண தேதி
recordAudit.declaration.markAsDuplicate,,Marked as a duplicate,නිවැරදි ලිපියක් ලක් විය,நகலாக குறிக்கப்பட்டது
recordAudit.declaration.reinstateDialog.actions.cancel,Button label for the dialog when cancel reinstate declaration,Cancel,අවලංගු කරනවා,ரத்து செய்
recordAudit.declaration.reinstateDialog.actions.confirm,Button label for the dialog when confirm reinstate declaration,Confirm,තහවුරු කරන්න,உறுதிப்படுத்தவும்
recordAudit.declaration.reinstateDialogDescription,Description for the dialog when reinstate declaration,This will reinstate the record back to its original status,මෙය රාජකීය තත්ත්වයට ආරක්ෂා කරනු ඇත.,இது பதிவை அதன் மூல நிலைக்கு மீள்படுத்தும்.
recordAudit.declaration.reinstateDialogTitle,Title for the dialog when reinstate declaration,Reinstate declaration?,නැවත ප්‍රකාශය ප්‍රකාශයක්?,புதுப்பிக்கலாமா?
recordAudit.history.started,Declaration Started,Started,ආරම්භයි,தொடங்கினேன்
recordAudit.noContact,No contact for record audit,No contact details provided,සදහා දුරකතන අංක සපයා නොමැත,தொடர்பு விவரங்கள் வழங்கப்படவில்லை
recordAudit.noDateOfBirth,Label for date of birth not available,No date of birth,උපන්දිනය නැත,பிறந்த தேதி இல்லை
recordAudit.noDateOfDeath,Label for date of death not available,No date of death,මධ්‍යස්ථානයේ {officeName} නාමයේ දිනය නොමැත.,மரண தேதி இல்லை
recordAudit.noDateOfMarriage,Label for date of marriage not available,No date of marriage,විවාහයේ දිනය නොමැත.,திருமணத் தேதி இல்லை
recordAudit.noName,Label for name not available,No name provided,නම සපයා නැත,பெயர் வழங்கப்படவில்லை
recordAudit.noPlaceOfBirth,Label for place of birth not available,No place of birth,උපන්වර්සයන් නොවේ.,பிறந்த இடம் இல்லை
recordAudit.noPlaceOfDeath,Label for place of death not availale,No place of death,මියෙන ස්ථානයක් නොවේ,மரணத்தின் இடம் இல்லை.
recordAudit.noPlaceOfMarriage,Label for place of marriage not availale,No place of marriage,විවාහයේ නිවාසයක් නොමැතිව ඇත්තේ නැත.,திருமண இடம் இல்லை
recordAudit.noStatus,Label for status not available,No status,නිවේදනය නොමැත,நிலை இல்லை
recordAudit.noTrackingId,Label for tracking id not available,No tracking ID,අටවන් හිමිකරුගේ ID නොමැතිව ඇත.,கண்காணிப்பு ஐடி இல்லை
recordAudit.noType,Label for type of event not available,No event,කිසිවක් සිහින් නොවේ,நிகழ்வு இல்லை
recordAudit.placeOfBirth,Label for place of birth,Place of birth,උපන් ගවේෂණය,பிறந்த இடம்
recordAudit.placeOfDeath,Label for place of death,Place of death,මරණ ස්ථානය,மரண இடம்
recordAudit.placeOfMarriage,Label for place of marriage,Place of marriage,විවාහයේ ස්ථානය,திருமண இடம்
recordAudit.regAction.approvedCorrection,,Correction approved,සංශෝධනය අනුමත කර ඇත,திருத்தம் அங்கீகரிக்கப்பட்டது
recordAudit.regAction.assigned,,Assigned,වෙනස් කළ හැකිය.,ஒதுக்கப்பட்டுள்ளேன்
recordAudit.regAction.corrected,,Record corrected,නිවාස සංස්කරණය කරන්න,பதிவேற்றம் சரிசெய்யப்பட்டது
recordAudit.regAction.downloaded,,Retrieved,අපි ලබා ගත්හ,பெறப்பட்டது
recordAudit.regAction.flaggedAsPotentialDuplicate,,Flagged as potential duplicate,ප්‍රතිපලයක් සහිතව අනුපාතයක් ලක්ෂේය,பொருளாதாரம் முடிக்கப்பட்டது
recordAudit.regAction.markedAsDuplicate,,Marked as a duplicate,නිකුත් කර ඇත,நகலாக குறிக்கப்பட்டது
recordAudit.regAction.markedAsNotDuplicate,Marked not a duplicate status message for record audit,Marked not a duplicate,අන්තර්ක්‍රියාවක් නොවේදින්නේ නම්,நகல் அல்லது நகல் அல்லாத என்று குறிக்கப்பட்டது
recordAudit.regAction.reinstated,,"Reinstated to {regStatus, select, validated{ready for review} in_progress{in progress} declared{ready for review} rejected{requires updates} other{}}","{regStatus, select, validated{ප‍්‍රථම සටහන් කර ඇත්තේ} in_progress{ක්‍රියාත්මක කෙරුම් වෙනස් කර ඇත්තේ} declared{ප‍්‍රථම සටහන් කර ඇත්තේ} rejected{යළි යොමු කිරීම් අවශ්‍ය වේ} other{}} වෙත පිළිගත් බව නැවත ස්ථාපනය කර ඇත්වේ.","{regStatus, select, validated{பரிசீலனைக்கு தயார்} in_progress{செயலாக்கத்தில்} declared{பரிசீலனைக்கு தயார்} rejected{புதுப்பிக்கப்பட வேண்டும்} other{}} ஆக மீள்புரிக்கப்பட்டுள்ளது."
recordAudit.regAction.rejectedCorrection,,Correction rejected,සාදන්නේ ප්‍රතිස්ථාපනය කරන ලදි.,திருத்தல் மறுக்கப்பட்டது
recordAudit.regAction.requestedCorrection,,Correction requested,නිවැරදියි ඉලේලාමු.,திருத்தம் கோரப்பட்டது
recordAudit.regAction.unassigned,,Unassigned,අයවැයක් සම්පූර්ණ කර නොපෙනෙනවා.,ஒதுக்கப்படாது
recordAudit.regAction.verified,Verified action,Certificate verified,සහත්කරණය සත්‍යාදයි,சான்றிதழ் சரிபார்க்கப்பட்டது
recordAudit.regAction.viewed,,Viewed,දැක්කාවෙන්,காணப்பட்டது
recordAudit.regStatus.archived,,Archived,අතිරික්කුවක්,பதிவுசீரமைக்கப்பட்டது
recordAudit.regStatus.certified,,Certified,බාරදෙනවා,சான்றிதழ் பெற்றுள்ளேன்
recordAudit.regStatus.correctionRequested,Label for when someone requested correction,Correction requested,නිවාස ඉල්ලීමක් ඉංග්‍රීසි භාෂාවෙන් සිංහලයට පරිවර්තනය කරන්න.,திருத்தம் கோரப்பட்டது
recordAudit.regStatus.declared,,Declaration started,නිවාඩුව ආරම්භ විය,அறிக்கை தொடங்கப்பட்டது
recordAudit.regStatus.declared.sentNotification,Field agent sent notification,Sent notification for review,සඳහන් කිරීම සඳහා ප්‍රස්ථාරය යවන ලදි.,பரிமற்றம் செய்தியை அனுப்பவும்
recordAudit.regStatus.issued,,Issued,නඩත්තු කරන ලදි,வெளியிடப்பட்டது
recordAudit.regStatus.markedAsNotDuplicate,,Marked not a duplicate,අන්තර්ක්‍රියාවක් නොවේදින්නේ නම්,நகல் அல்லது நகல் அல்லாத என்று குறிக்கப்பட்டது
recordAudit.regStatus.registered,,Registered,ලියාපදිංචියි,பதிவு செய்யப்பட்டது
recordAudit.regStatus.rejected,,Rejected,ප්‍රතිචාරයක් කරන ලදි,நிராகரித்தது
recordAudit.regStatus.updatedDeclaration,,Updated,යාවත්කාලීන කරන ලදි,புதுப்பிக்கப்பட்டது
recordAudit.regStatus.waitingValidation,,Waiting for validation,වලංගු වීම බලන්නේ නැත,சரிபார்க்கப்படுத்தப்படுகிறேன்
recordAudit.registrationNo,Label for Event Registration Number,Registration No,ලියාපදිංචි අංකය,பதிவு எண்
recordAudit.rn,Label for Birth Registration Number,Registration No.,ලියාපදිංචි අංකය.,பதிவு எண்.
recordAudit.status,Label for status,Status,තරඟකාරීත්වය,நிலை
recordAudit.trackingId,Label for tracking id,Tracking ID,දල්ෆ් කිරීමේ හැඳුනුම්පත්කරණය,கண்காணிப்பு ஐடி
recordAudit.type,Label for event type,Event,උදව්,நிகழ்வு
regHome.archived,Label for registration status archived,Archived,අත්සන් කරන ලදි,பதிவுசீராக்கப்பட்டுள்ளது
regHome.certified,Label for registration status certified,Certified,බාරදෙනවා,சான்றிதழ் பெற்றுள்ளேன்
regHome.inPro.selector.field.agents,The title of In progress field agents,Field agents,ක්ෂේත්‍ර ආගාරයන්,புலம்போர்கள்
regHome.inPro.selector.hospital.drafts,The title of In progress Hospitals,Health system,ආධෝර පද්ධතිය,ஆரோக்கிய அமைப்பு
regHome.inPro.selector.own.drafts,The title of In progress own drafts,My drafts,මගේ සාරාංශයන්,என் வரையறைகள்
regHome.inProgress,The title of In progress,In progress,සිදුකළ යුතු අතර,செயல்பாடு செய்கிறது
regHome.issued,Label for registration status issued,Issued,නඩත්තු කරන ලදි,வெளியிடப்பட்டது
regHome.outbox.failed,Label for declaration status failed,Failed to send,යවන්නේ අසාර්ථකයි,அனுப்ப தோல்வி ஏற்பட்டது
regHome.outbox.retry,Label for Retry button in Outbox shown for records that failed to send,Retry,නැවත උත්සහා කරන්න,மீண்டும் முயற்சி செய்க
regHome.outbox.statusArchiving,Label for application status Archiving,Archiving...,ගත්කරමින්...,பதிவுசெய்யப்படுகின்றது...
regHome.outbox.statusCertifying,Label for declaration status Certifying,Certifying...,තහවුරු කිරීම...,சான்றிதழ் பதிவு செய்தல்...
regHome.outbox.statusIssuing,Label for declaration status Issuing,Issuing...,නිකුත් කිරීම...,வெளியிடுவது...
regHome.outbox.statusRegistering,Label for declaration status Registering,Registering...,ලියාපදිංචියෙන්...,பதிவு செய்யப்படுகின்றது...
regHome.outbox.statusReinstating,Label for application status Reinstating,Reinstating...,නැවත ප්‍රතිස්ථාපනය කිරීම...,மீள்படுத்துவது...
regHome.outbox.statusRejecting,Label for declaration status Rejecting,Sending for updates...,යාවත්කාලීන කිරීම සඳහා...,புதுப்பிக்க அனுப்புகிறேன்...
regHome.outbox.statusRequestingCorrection,Label for declaration status Requesting correction,Correcting...,සැහැල්ලුවක්කා...,சரிபார்க்கிறது...
regHome.outbox.statusSendingForApproval,Label for declaration status waiting for validate,Sending for approval...,අනුමත කිරීම සඳහා යවනු ලැබේ...,அனுமோனத்துக்கு அனுப்புகிறது...
regHome.outbox.statusSubmitting,Label for declaration status submitting,Sending...,යවන්න...,அனுப்புகிறது...
regHome.outbox.statusWaitingToBeArchived,Label for application status waiting to be archived,Waiting to be archived,සංරක්ෂණය කිරීමට බලාපොරොත්තු වේ,காப்பகப்படுத்த காத்திருக்கிறது
regHome.outbox.statusWaitingToBeReinstated,Label for application status waiting to be reinstated,Waiting to be reinstated,නැවත ස්ථානගත කිරීම බලාපොරොත්තු වේ.,மீண்டும் நியமிக்கப்பட காத்திருக்கிறேன்.
regHome.outbox.statusWaitingToCertify,Label for declaration status waiting for certify,Waiting to certify,සහත් කිරීම බලන්නේ බලාපොරොත්තු වෙනවා.,சான்றிதழ் சரிபார்க்க காத்திருக்கிறேன்.
regHome.outbox.statusWaitingToIssue,Label for declaration status waiting for certify,Waiting to issue,නියමිත කිරීම බලන්න,விஷயம் வெளியீடு செய்ய காத்திருக்கிறேன்
regHome.outbox.statusWaitingToRegister,Label for declaration status waiting for register,Waiting to register,ලියාපදිංචි වීම බලාපොරොත්තු වේ,பதிவு செய்ய காத்திருக்கிறேன்
regHome.outbox.statusWaitingToReject,Label for declaration status waiting for reject,Waiting to send for updates,යාවත්කාලීන කිරීම් සඳහා යැවීමට බලාපොරොත්තු වේ,புதுப்பிப்புகளுக்கு அனுப்ப காத்திருக்கிறது
regHome.outbox.statusWaitingToSubmit,Label for declaration status waiting for reject,Waiting to send,යවන්න අපි බලන්නේ නැතිලුණුද?,அனுப்ப காத்திருக்கிறேன்
regHome.outbox.statusWaitingToValidate,Label for declaration status waiting for validate,Waiting to send for approval,අනුමත කිරීම සඳහා බැලීම බලාපොරොත්තු වේ.,அனுமோனத்துக்கு அனுப்ப காத்திருக்கிறேன்
regHome.outbox.waitingToRetry,Label for declaration status waiting for connection,Waiting to retry,නැවත උත්සාහ කිරීමට බලපානු ඇත,மீண்டும் முயற்சி செய்ய காத்திருக்கிறேன்
regHome.queryError,,An error occurred while searching,සෙවීම කිරීමේ වාර්තාවේ දෝෂය සිදු විය යුතු විය.,தேடல் செய்யும் போது பிழை ஏற்பட்டது
regHome.readyForReview,The title of ready for review,Ready for review,සමාවෙන්න සඳහා අයිතිකරුගේ අනුවාදයට පිවිසෙන්න,மதிப்பீடுக்கு தயாராக உள்ளோம்
regHome.readyToPrint,The title of ready to print tab,Ready to print,මුද්‍රණය කිරීම සඳහා සූදාර්ථයක් විසින් ඇත,அசைவு செய்ய உள்ளேன்
regHome.registrationNumber,The heading of registration no. column,Registration no.,ලියාපදිංචි අංකය.,பதிவு எண்.
regHome.requestedCorrection,Label for registration status requested correction,Requested correction,ඇයගේ අවශ්‍යතාව සංස්කරණය කිරීමට ඉල්ලීමට ඉල්ලුම් විය.,கோரிய சரியாக செய்யப்பட்டது
regHome.searchInput.placeholder,,Look for a record,ලාමාලා සෙවීම කරන්න,ஒரு பதிவை தேடுங்கள்
regHome.sentForApprovals,The title of sent for approvals tab,Sent for approval,අනුමත කිරීම සඳහා යවන ලදුව,அனுமோனத்துக்கு அனுப்பப்பட்டுள்ளது
regHome.sentForExternalValidation,The label for external validation waiting duration column,Sent for external validation,බාහිර සංස්කරණය සදහා යවන ලදුවද යන්නේ.,வெளியேற்றுக்கு அனுப்பப்பட்டுள்ளது
regHome.sentForUpdates,The title of sent for updates tab,Sent for updates,යාවත්කාලී කිරීම සඳහා යවන ලදුදුන්න,புதுப்பிக்க அனுப்பப்பட்டது
regHome.table.label,Results label at the top of the data table component,Results,ප්‍රතිඵල,முடிவுகள்
regHome.table.label.action,Label for action in work queue list item,Action,ක්‍රියාකාරකයාගේ නාමය සහ කාර්යයන් පිළිබඳව ප්‍රතිචාරයක් ලබා දෙන්න.,செயல்
regHome.table.label.declarationDate,Label for declaration date in work queue list item,Declaration sent,නිවේදනය යැවීම යවන ලදි.,அறிக்கை அனுப்பப்பட்டது
regHome.table.label.registeredDate,Label for date of registration in work queue list item,Registered,ලියාපදිංචියා,பதிவு செய்யப்பட்டது
regHome.val.regAgent.tooltip,Text to display for validated declaration as tooltip,Declaration has been validated and waiting for approval,ප්‍රඳුන් සංවර්ධනය කළ හැකි වීම සහිතව අනුමැතිය පිළිබඳව පොඩි වී ඇත.,அறிக்கை சரிபார்க்கப்பட்டு அனுமதி காத்திருக்கின்றது.
regHome.validated.registrar.tooltip,Text to display for validated declaration as tooltip,Declaration has been validated by a registration agent,ලියාපදිංචි කළ ලදි ලියාපදිංචි නිර්දේශිතයා විසින් තහවුරු කරන ලදි,பதிவு பரிசீலிக்கப்பட்டுள்ளது ஒரு பதிவு மதிப்பாய்வு மனுவராக்காள்.
regHome.waitingForExternalValidation,The title of waiting for external validation,Waiting for external validation,බාහිර සංහිතය බලන්නේ නැත,வெளியேற்று அங்கீகாரத்தை காத்திருக்கிறேன்
regHome.workqueue.downloadDeclarationFailed,Label for declaration downloading failed,Failed to download record. Please try again,රෙදිල් බා‌ගත කිරීම අසාර්ථකව පවතී. කරුණාකර නැවත උත්සහා කරන්න.,பதிவேற்றுவதில் தோல்வி ஏற்பட்டது. மீண்டும் முயற்சி செய்க
register.SelContact.birthRelLabel,,Relationship to child,ළමයාට සම්බන්ධයක්,குழந்தைக்கு உறவு
register.SelectContactPoint.error,,Please select a main point of contact,කරුණාකර ප්‍රස්ථාරයේ මූලික දුරකථන අංකය තෝරන්න.,தயவுசெய்து ஒரு முக்கிய தொடர்பு புள்ளி தேர்ந்தெடுக்கவும்.
register.SelectContactPoint.heading,,Main point of contact,මූලික අදාළ අන්තරජාලය,தொடர்பு முகவரி
register.SelectContactPoint.phoneNoError,Phone no error text,Not a valid mobile number,එය වලංගු ජංගම දුරකථන අංකය නොවේ.,செல்லுபடியாக இல்லை என்று உறுதிப்படுத்தப்பட்ட மொபைல் எண்
register.SelectContactPoint.phoneNoLabel,,Phone number,දුරකතන අංකය,தொலைபேசி எண்
register.SelectContactPoint.title,,Birth declaration,උපන්දින ප්‍රකාශය,பிறப்பு அறிக்கை
register.conf.butt.back.dup,,Back to duplicate,පුද්ගලයාට ආරම්භ කරන්න.,மறுபடியும் திரும்பு (Back to duplicate)
register.conf.butt.newDecl,,New declaration,නව ප්‍රකාශය,புதிய அறிக்கை
register.confirmationScreen.boxHeaderDesc,,"{event, select, declaration {{eventType, select, birth {birth} death {death} other{birth}} declaration has been sent for review.} registration {{eventType, select, birth {birth} death {death} other{birth}} has been registered.} duplication {{eventType, select, birth {birth} death {death} other{birth}} has been registered.} rejection {{eventType, select, birth {birth} death {death} other{birth}} declaration has been rejected.} certificate {{eventType, select, birth {birth} death {death} other{birth}} certificate has been completed.} offline {{eventType, select, birth {birth} death {death} other{birth}} declaration will be sent when you reconnect.} other {{eventType, select, birth {birth} death {death} other{birth}}}","{සිදුවීම, තෝරාගත්, නිවාස {{eventType, තෝරාගත්, උපන්දින {birth} මරණ {death} වෙනත්{birth}} නිවාස සඳහා සටහන පැහැදිලි කළා.} ලියාපදිංචි {{eventType, තෝරාගත්, උපන්දින {birth} මරණ {death} වෙනත්{birth}} ලියාපදිංචි කළා.} අනුරූපනය {{eventType, තෝරාගත්, උපන්දින {birth} මරණ {death} වෙනත්{birth}} ලියාපදිංචි කළා.} ප්‍රතිපාදනය {{eventType, තෝරාගත්, උපන්දින {birth} මරණ {death} වෙනත්{birth}} සටහන පැහැදිලි කළා.} වසර {{eventType, තෝරාගත්, උපන්දින {birth} මරණ {death} වෙනත්{birth}} සටහන ඔබට නැවත සම්බන්ධ වෙනවා.} වෙරණ {{eventType, තෝරාගත්, උපන්දින {birth} මරණ {death} වෙනත්{birth}}}}","{event, select, declaration {{eventType, select, birth {பிறப்பு} death {மரணம்} other{பிறப்பு}}} அறிக்கை மதிப்புரையிடப்பட்டுள்ளது.} பதிவு {{eventType, select, birth {பிறப்பு} death {மரணம்} other{பிறப்பு}}} பதிவு செய்யப்பட்டுள்ளது.} நகலெடுப்பு {{eventType, select, birth {பிறப்பு} death {மரணம்} other{பிறப்பு}}} பதிவு செய்யப்பட்டுள்ளது.} நிராகரணம் {{eventType, select, birth {பிறப்பு} death {மரணம்} other{பிறப்பு}}} அறிக்கை நிராகரிக்கப்பட்டுள்ளது.} சான்றிதழ் {{eventType, select, birth {பிறப்பு} death {மரணம்} other{பிறப்பு}}} முடிக்கப்பட்டுள்ளது.} ஆஃப்லைன் {{eventType, select, birth {பிறப்பு} death {மரணம்} other{பிறப்பு}}} அறிக்கை உங்கள் மீது மீண்டும் இணைந்தால் அனுப்பப்படும்.} மற்றவை {{eventType, select, birth {பிறப்பு} death {மரணம்} other{பிறப்பு}}}"
register.confirmationScreen.buttons.back,,Back to homescreen,නැවත නිවාඩු තිබෙනවා,முதல் தளத்திற்கு திரும்புக
